"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.104471,0.017338,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.count","thrpt",10,10,1314.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.time","thrpt",10,10,1923.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize","thrpt",10,10,1131.869121,26.468581,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.alloc.rate","thrpt",10,10,1635.294096,37.614294,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.alloc.rate.norm","thrpt",10,10,1553.929103,0.004544,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.churn.G1_Eden_Space","thrpt",10,10,1633.182585,61.812347,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,1551.895432,44.716038,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.001886,0.000626,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.001792,0.000596,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
